wave,flux,error
5704.315,3.716e-10,5.163e-13
5708.699,3.713e-10,5.160e-13
5713.083,3.736e-10,5.175e-13
5717.467,3.813e-10,5.227e-13
5721.852,3.838e-10,5.243e-13
5726.237,3.872e-10,5.265e-13
5730.621,3.880e-10,5.269e-13
5735.006,3.838e-10,5.240e-13
5739.392,3.831e-10,5.235e-13
5743.777,3.831e-10,5.234e-13
5748.162,3.723e-10,5.158e-13
5752.548,3.695e-10,5.138e-13
5756.934,3.691e-10,5.134e-13
5761.319,3.693e-10,5.135e-13
5765.705,3.718e-10,5.151e-13
5770.092,3.731e-10,5.159e-13
5774.478,3.713e-10,5.144e-13
5778.864,3.712e-10,5.143e-13
5783.251,3.685e-10,5.124e-13
5787.638,3.707e-10,5.138e-13
5792.025,3.751e-10,5.167e-13
5796.412,3.761e-10,5.174e-13
5800.799,3.822e-10,5.214e-13
5805.187,3.838e-10,5.223e-13
5809.574,3.857e-10,5.235e-13
5813.962,3.885e-10,5.254e-13
5818.350,3.905e-10,5.266e-13
5822.738,3.906e-10,5.265e-13
5827.126,3.949e-10,5.293e-13
5831.514,3.958e-10,5.299e-13
5835.902,3.963e-10,5.300e-13
5840.291,3.936e-10,5.281e-13
5844.680,3.901e-10,5.257e-13
5849.069,3.897e-10,5.254e-13
5853.458,3.853e-10,5.224e-13
5857.847,3.858e-10,5.226e-13
5862.236,3.846e-10,5.218e-13
5866.626,3.880e-10,5.239e-13
5871.015,3.921e-10,5.266e-13
5875.405,3.900e-10,5.253e-13
5879.795,3.857e-10,5.222e-13
5884.185,3.765e-10,5.160e-13
5888.575,3.668e-10,5.093e-13
5892.965,3.639e-10,5.073e-13
5897.356,3.662e-10,5.089e-13
5901.746,3.753e-10,5.151e-13
5906.137,3.840e-10,5.211e-13
5910.528,3.874e-10,5.233e-13
5914.919,3.855e-10,5.221e-13
5919.310,3.862e-10,5.225e-13
5923.701,3.874e-10,5.233e-13
5928.093,3.855e-10,5.221e-13
5932.484,3.842e-10,5.213e-13
5936.876,3.839e-10,5.211e-13
5941.268,3.816e-10,5.196e-13
5945.660,3.814e-10,5.195e-13
5950.052,3.761e-10,5.159e-13
5954.444,3.787e-10,5.178e-13
5958.836,3.804e-10,5.189e-13
5963.229,3.824e-10,5.205e-13
5967.622,3.831e-10,5.210e-13
5972.014,3.802e-10,5.191e-13
5976.407,3.792e-10,5.185e-13
5980.800,3.777e-10,5.177e-13
5985.193,3.771e-10,5.173e-13
5989.587,3.757e-10,5.165e-13
5993.980,3.758e-10,5.166e-13
5998.374,3.765e-10,5.172e-13
6002.768,3.761e-10,5.171e-13
6007.161,3.764e-10,5.173e-13
6011.555,3.748e-10,5.164e-13
6015.949,3.738e-10,5.159e-13
6020.344,3.734e-10,5.157e-13
6024.738,3.746e-10,5.168e-13
6029.133,3.773e-10,5.187e-13
6033.527,3.839e-10,5.235e-13
6037.922,3.843e-10,5.239e-13
6042.317,3.832e-10,5.233e-13
6046.712,3.851e-10,5.247e-13
6051.107,3.849e-10,5.248e-13
6055.502,3.842e-10,5.244e-13
6059.898,3.813e-10,5.225e-13
6064.293,3.805e-10,5.221e-13
6068.689,3.809e-10,5.226e-13
6073.085,3.798e-10,5.219e-13
6077.481,3.779e-10,5.206e-13
6081.877,3.745e-10,5.183e-13
6086.273,3.740e-10,5.180e-13
6090.669,3.736e-10,5.178e-13
6095.065,3.720e-10,5.167e-13
6099.462,3.715e-10,5.164e-13
6103.859,3.682e-10,5.141e-13
6108.255,3.672e-10,5.134e-13
6112.652,3.655e-10,5.123e-13
6117.049,3.631e-10,5.105e-13
6121.447,3.581e-10,5.071e-13
6125.844,3.537e-10,5.038e-13
6130.241,3.465e-10,4.986e-13
6134.639,3.393e-10,4.934e-13
6139.036,3.341e-10,4.896e-13
6143.434,3.310e-10,4.872e-13
6147.832,3.291e-10,4.857e-13
6152.230,3.243e-10,4.821e-13
6156.628,3.179e-10,4.773e-13
6161.026,3.135e-10,4.740e-13
6165.425,3.079e-10,4.696e-13
6169.823,3.043e-10,4.668e-13
6174.222,3.007e-10,4.640e-13
6178.620,2.941e-10,4.589e-13
6183.019,2.904e-10,4.560e-13
6187.418,2.881e-10,4.542e-13
6191.817,2.864e-10,4.529e-13
6196.216,2.874e-10,4.536e-13
6200.616,2.919e-10,4.572e-13
