wave,flux,error
4878.978,7.482e-13,3.874e-15
4883.325,7.378e-13,3.836e-15
4887.673,7.580e-13,3.880e-15
4892.021,7.634e-13,3.875e-15
4896.370,8.118e-13,3.977e-15
4900.718,8.257e-13,4.015e-15
4905.067,7.976e-13,3.935e-15
4909.416,7.648e-13,3.861e-15
4913.765,7.820e-13,3.893e-15
4918.115,7.558e-13,3.824e-15
4922.465,7.799e-13,3.876e-15
4926.815,8.179e-13,3.945e-15
4931.165,8.172e-13,3.945e-15
4935.515,8.321e-13,3.968e-15
4939.866,8.489e-13,3.998e-15
4944.217,8.718e-13,4.034e-15
4948.568,8.534e-13,3.993e-15
4952.919,8.532e-13,3.988e-15
4957.270,8.640e-13,4.002e-15
4961.622,8.764e-13,4.024e-15
4965.974,8.809e-13,4.035e-15
4970.326,8.838e-13,4.033e-15
4974.678,8.918e-13,4.050e-15
4979.031,8.544e-13,3.965e-15
4983.384,8.968e-13,4.052e-15
4987.737,8.764e-13,4.000e-15
4992.090,8.996e-13,4.045e-15
4996.444,8.793e-13,3.991e-15
5000.797,8.840e-13,3.991e-15
5005.151,8.721e-13,3.960e-15
5009.505,8.605e-13,3.936e-15
5013.860,8.577e-13,3.926e-15
5018.214,9.001e-13,4.003e-15
5022.569,9.007e-13,3.995e-15
5026.924,9.105e-13,4.017e-15
5031.279,9.146e-13,4.021e-15
5035.635,9.098e-13,4.001e-15
5039.990,9.165e-13,4.006e-15
5044.346,9.330e-13,4.038e-15
5048.702,9.531e-13,4.071e-15
5053.058,9.783e-13,4.117e-15
5057.415,9.906e-13,4.129e-15
5061.772,9.863e-13,4.133e-15
5066.128,9.648e-13,4.082e-15
5070.486,9.736e-13,4.094e-15
5074.843,9.642e-13,4.077e-15
5079.200,9.854e-13,4.119e-15
5083.558,9.534e-13,4.052e-15
5087.916,9.878e-13,4.104e-15
5092.274,1.022e-12,4.166e-15
5096.633,9.994e-13,4.121e-15
5100.991,1.010e-12,4.135e-15
5105.350,1.013e-12,4.120e-15
5109.709,1.023e-12,4.135e-15
5114.068,1.034e-12,4.151e-15
5118.428,1.050e-12,4.174e-15
5122.787,1.016e-12,4.104e-15
5127.147,1.021e-12,4.107e-15
5131.507,1.015e-12,4.082e-15
5135.867,9.929e-13,4.045e-15
5140.228,1.013e-12,4.077e-15
5144.589,1.026e-12,4.095e-15
5148.949,1.027e-12,4.095e-15
5153.310,1.018e-12,4.073e-15
5157.672,9.915e-13,4.019e-15
5162.033,9.495e-13,3.935e-15
5166.395,9.291e-13,3.879e-15
5170.757,9.049e-13,3.834e-15
5175.119,9.456e-13,3.901e-15
5179.481,9.540e-13,3.919e-15
5183.844,9.773e-13,3.949e-15
5188.206,1.001e-12,3.990e-15
5192.569,1.032e-12,4.042e-15
5196.932,1.046e-12,4.061e-15
5201.296,1.060e-12,4.076e-15
5205.659,1.051e-12,4.056e-15
5210.023,1.072e-12,4.081e-15
5214.387,1.078e-12,4.093e-15
5218.751,1.090e-12,4.104e-15
5223.115,1.064e-12,4.055e-15
5227.480,1.072e-12,4.064e-15
5231.844,1.089e-12,4.079e-15
5236.209,1.109e-12,4.112e-15
5240.574,1.121e-12,4.131e-15
5244.939,1.137e-12,4.144e-15
5249.305,1.143e-12,4.153e-15
5253.671,1.109e-12,4.096e-15
5258.037,1.066e-12,4.011e-15
5262.403,1.045e-12,3.966e-15
5266.769,1.030e-12,3.942e-15
5271.135,1.049e-12,3.974e-15
5275.502,1.093e-12,4.046e-15
5279.869,1.150e-12,4.135e-15
5284.236,1.169e-12,4.160e-15
5288.603,1.180e-12,4.167e-15
5292.970,1.178e-12,4.161e-15
5297.338,1.182e-12,4.165e-15
5301.706,1.180e-12,4.162e-15
5306.074,1.177e-12,4.148e-15
5310.442,1.203e-12,4.189e-15
5314.810,1.192e-12,4.167e-15
5319.179,1.168e-12,4.125e-15
5323.548,1.158e-12,4.104e-15
5327.917,1.143e-12,4.077e-15
5332.286,1.166e-12,4.111e-15
5336.655,1.167e-12,4.115e-15
5341.025,1.190e-12,4.147e-15
5345.394,1.210e-12,4.184e-15
5349.764,1.202e-12,4.169e-15
5354.134,1.202e-12,4.169e-15
5358.505,1.221e-12,4.189e-15
5362.875,1.196e-12,4.148e-15
5367.246,1.183e-12,4.121e-15
5371.616,1.180e-12,4.108e-15
5375.988,1.218e-12,4.171e-15
5380.359,1.202e-12,4.143e-15
5384.730,1.182e-12,4.111e-15
5389.102,1.163e-12,4.077e-15
5393.473,1.163e-12,4.069e-15
5397.845,1.153e-12,4.058e-15
5402.217,1.142e-12,4.044e-15
5406.590,1.159e-12,4.064e-15
5410.962,1.147e-12,4.047e-15
5415.335,1.142e-12,4.049e-15
5419.708,1.161e-12,4.075e-15
5424.081,1.150e-12,4.048e-15
5428.454,1.151e-12,4.052e-15
5432.827,1.165e-12,4.068e-15
5437.201,1.187e-12,4.105e-15
5441.575,1.221e-12,4.150e-15
5445.949,1.212e-12,4.150e-15
5450.323,1.236e-12,4.197e-15
5454.697,1.242e-12,4.216e-15
5459.071,1.247e-12,4.225e-15
5463.446,1.243e-12,4.206e-15
5467.821,1.259e-12,4.208e-15
5472.196,1.261e-12,4.191e-15
5476.571,1.251e-12,4.171e-15
5480.946,1.267e-12,4.189e-15
5485.322,1.282e-12,4.205e-15
5489.698,1.279e-12,4.186e-15
5494.074,1.289e-12,4.201e-15
5498.450,1.300e-12,4.207e-15
5502.826,1.285e-12,4.183e-15
5507.202,1.290e-12,4.184e-15
5511.579,1.294e-12,4.189e-15
5515.956,1.304e-12,4.198e-15
5520.332,1.298e-12,4.180e-15
5524.710,1.288e-12,4.163e-15
5529.087,1.297e-12,4.166e-15
5533.464,1.306e-12,4.173e-15
5537.842,1.333e-12,4.202e-15
5542.220,1.303e-12,4.154e-15
5546.598,1.318e-12,4.174e-15
5550.976,1.326e-12,4.174e-15
5555.354,1.320e-12,4.167e-15
5559.733,1.299e-12,4.133e-15
5564.111,1.322e-12,4.163e-15
5568.490,1.293e-12,4.124e-15
5572.869,1.309e-12,4.143e-15
5577.248,1.299e-12,4.131e-15
5581.627,1.287e-12,4.108e-15
5586.007,1.267e-12,4.067e-15
