wave,flux,error
4674.900,2.242e-11,7.659e-14
4679.237,2.234e-11,7.629e-14
4683.574,2.251e-11,7.642e-14
4687.911,2.248e-11,7.623e-14
4692.248,2.255e-11,7.618e-14
4696.586,2.208e-11,7.525e-14
4700.923,2.186e-11,7.475e-14
4705.261,2.226e-11,7.526e-14
4709.600,2.275e-11,7.598e-14
4713.938,2.321e-11,7.652e-14
4718.277,2.349e-11,7.687e-14
4722.616,2.360e-11,7.694e-14
4726.955,2.332e-11,7.631e-14
4731.295,2.320e-11,7.601e-14
4735.634,2.351e-11,7.636e-14
4739.974,2.334e-11,7.596e-14
4744.315,2.317e-11,7.553e-14
4748.655,2.325e-11,7.554e-14
4752.996,2.297e-11,7.495e-14
4757.337,2.314e-11,7.505e-14
4761.678,2.298e-11,7.466e-14
4766.019,2.306e-11,7.467e-14
4770.361,2.323e-11,7.481e-14
4774.703,2.351e-11,7.513e-14
4779.045,2.293e-11,7.411e-14
4783.387,2.299e-11,7.406e-14
4787.730,2.255e-11,7.322e-14
4792.073,2.245e-11,7.296e-14
4796.416,2.270e-11,7.319e-14
4800.759,2.215e-11,7.224e-14
4805.102,2.193e-11,7.175e-14
4809.446,2.212e-11,7.193e-14
4813.790,2.171e-11,7.119e-14
4818.134,2.143e-11,7.062e-14
4822.479,2.101e-11,6.975e-14
4826.823,2.095e-11,6.958e-14
4831.168,2.026e-11,6.832e-14
4835.514,1.908e-11,6.624e-14
4839.859,1.813e-11,6.452e-14
4844.205,1.708e-11,6.257e-14
4848.550,1.615e-11,6.076e-14
4852.896,1.535e-11,5.913e-14
4857.243,1.533e-11,5.901e-14
4861.589,1.613e-11,6.045e-14
4865.936,1.796e-11,6.365e-14
4870.283,1.948e-11,6.611e-14
4874.630,2.067e-11,6.800e-14
4878.978,2.113e-11,6.864e-14
4883.325,2.169e-11,6.941e-14
4887.673,2.206e-11,6.991e-14
4892.021,2.266e-11,7.074e-14
4896.370,2.313e-11,7.136e-14
4900.718,2.304e-11,7.109e-14
4905.067,2.307e-11,7.106e-14
4909.416,2.233e-11,6.981e-14
4913.765,2.224e-11,6.961e-14
4918.115,2.228e-11,6.958e-14
4922.465,2.229e-11,6.947e-14
4926.815,2.289e-11,7.029e-14
4931.165,2.268e-11,6.988e-14
4935.515,2.290e-11,7.013e-14
4939.866,2.282e-11,6.993e-14
4944.217,2.298e-11,7.007e-14
4948.568,2.302e-11,7.005e-14
4952.919,2.292e-11,6.978e-14
4957.270,2.340e-11,7.043e-14
4961.622,2.316e-11,6.998e-14
4965.974,2.344e-11,7.030e-14
4970.326,2.322e-11,6.988e-14
4974.678,2.292e-11,6.939e-14
4979.031,2.248e-11,6.865e-14
4983.384,2.254e-11,6.863e-14
4987.737,2.273e-11,6.882e-14
4992.090,2.255e-11,6.848e-14
4996.444,2.206e-11,6.762e-14
5000.797,2.192e-11,6.737e-14
5005.151,2.145e-11,6.656e-14
5009.505,2.162e-11,6.675e-14
5013.860,2.123e-11,6.609e-14
5018.214,2.185e-11,6.696e-14
5022.569,2.186e-11,6.690e-14
5026.924,2.185e-11,6.678e-14
5031.279,2.184e-11,6.670e-14
5035.635,2.148e-11,6.608e-14
5039.990,2.148e-11,6.602e-14
5044.346,2.168e-11,6.622e-14
5048.702,2.189e-11,6.648e-14
