file,DATE-OBS,IMAGETYP,OBJECT
C:\SNU\2022_2\AO2\data\calibration-0003dk180.fit,2022-11-04T19:11:15,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk3.fit,2022-11-04T18:45:46,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk30.fit,2022-11-04T18:51:05,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk300.fit,2022-11-04T19:46:09,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk4.fit,2022-11-04T18:47:04,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk6.fit,2022-11-04T18:48:34,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk60.fit,2022-11-04T18:57:25,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk600.fit,2022-11-04T20:41:59,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk900.fit,2022-11-04T22:22:49,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004bias.fit,2022-11-04T18:43:06,Bias Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk02.fit,2022-11-04T18:43:56,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk1.fit,2022-11-04T18:44:50,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk15.fit,2022-11-04T19:33:55,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk180.fit,2022-11-04T19:14:20,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk3.fit,2022-11-04T18:45:54,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk30.fit,2022-11-04T18:51:41,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk300.fit,2022-11-04T19:51:15,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk4.fit,2022-11-04T18:47:14,Dark Frame,calibration
