wave,flux,error
4415.168,4.127e-09,6.544e-12
4419.490,4.219e-09,6.581e-12
4423.811,4.251e-09,6.574e-12
4428.133,4.203e-09,6.508e-12
4432.455,4.153e-09,6.437e-12
4436.777,4.142e-09,6.403e-12
4441.100,4.139e-09,6.368e-12
4445.422,4.109e-09,6.318e-12
4449.745,4.070e-09,6.262e-12
4454.069,3.992e-09,6.171e-12
4458.392,3.930e-09,6.096e-12
4462.716,3.953e-09,6.089e-12
4467.040,4.032e-09,6.121e-12
4471.365,4.185e-09,6.209e-12
4475.689,4.179e-09,6.178e-12
4480.014,4.144e-09,6.126e-12
4484.339,4.138e-09,6.100e-12
4488.665,4.199e-09,6.118e-12
4492.990,4.157e-09,6.058e-12
4497.316,4.215e-09,6.080e-12
4501.643,4.329e-09,6.135e-12
4505.969,4.342e-09,6.121e-12
4510.296,4.280e-09,6.054e-12
4514.623,4.230e-09,5.997e-12
4518.950,4.164e-09,5.928e-12
4523.278,4.097e-09,5.858e-12
4527.605,4.001e-09,5.771e-12
4531.933,3.907e-09,5.685e-12
4536.262,4.074e-09,5.777e-12
4540.590,4.087e-09,5.770e-12
4544.919,4.110e-09,5.763e-12
4549.248,4.085e-09,5.730e-12
4553.577,4.126e-09,5.738e-12
4557.907,4.189e-09,5.765e-12
4562.237,4.205e-09,5.755e-12
4566.567,4.234e-09,5.752e-12
4570.897,4.234e-09,5.737e-12
4575.228,4.214e-09,5.706e-12
4579.558,4.147e-09,5.640e-12
4583.890,4.165e-09,5.637e-12
4588.221,4.142e-09,5.600e-12
4592.553,4.170e-09,5.604e-12
4596.884,4.171e-09,5.586e-12
4601.216,4.195e-09,5.583e-12
4605.549,4.224e-09,5.586e-12
4609.881,4.308e-09,5.624e-12
4614.214,4.329e-09,5.619e-12
4618.547,4.336e-09,5.608e-12
4622.881,4.337e-09,5.589e-12
4627.214,4.297e-09,5.549e-12
4631.548,4.277e-09,5.520e-12
4635.882,4.233e-09,5.475e-12
4640.217,4.222e-09,5.451e-12
4644.551,4.073e-09,5.340e-12
4648.886,4.091e-09,5.336e-12
4653.221,4.083e-09,5.317e-12
4657.556,4.147e-09,5.338e-12
4661.892,4.097e-09,5.292e-12
4666.228,4.027e-09,5.235e-12
4670.564,4.038e-09,5.227e-12
4674.900,4.079e-09,5.237e-12
4679.237,4.113e-09,5.243e-12
4683.574,4.132e-09,5.240e-12
4687.911,4.131e-09,5.226e-12
4692.248,4.107e-09,5.196e-12
4696.586,4.032e-09,5.134e-12
4700.923,3.996e-09,5.100e-12
4705.261,3.997e-09,5.085e-12
4709.600,4.093e-09,5.132e-12
4713.938,4.175e-09,5.168e-12
4718.277,4.219e-09,5.184e-12
4722.616,4.227e-09,5.173e-12
4726.955,4.167e-09,5.122e-12
4731.295,4.148e-09,5.096e-12
4735.634,4.148e-09,5.086e-12
4739.974,4.207e-09,5.107e-12
4744.315,4.230e-09,5.110e-12
4748.655,4.222e-09,5.091e-12
4752.996,4.169e-09,5.046e-12
4757.337,4.127e-09,5.009e-12
4761.678,4.110e-09,4.989e-12
4766.019,4.156e-09,5.003e-12
4770.361,4.247e-09,5.043e-12
4774.703,4.282e-09,5.052e-12
4779.045,4.298e-09,5.049e-12
4783.387,4.247e-09,5.009e-12
4787.730,4.230e-09,4.985e-12
4792.073,4.258e-09,4.990e-12
4796.416,4.278e-09,4.992e-12
4800.759,4.249e-09,4.965e-12
4805.102,4.282e-09,4.968e-12
4809.446,4.278e-09,4.954e-12
4813.790,4.312e-09,4.965e-12
4818.134,4.294e-09,4.943e-12
4822.479,4.277e-09,4.924e-12
4826.823,4.219e-09,4.878e-12
4831.168,4.201e-09,4.859e-12
4835.514,4.146e-09,4.817e-12
4839.859,4.103e-09,4.781e-12
4844.205,4.014e-09,4.719e-12
4848.550,3.905e-09,4.646e-12
4852.896,3.728e-09,4.529e-12
4857.243,3.527e-09,4.397e-12
4861.589,3.492e-09,4.370e-12
4865.936,3.604e-09,4.428e-12
4870.283,3.775e-09,4.523e-12
4874.630,3.876e-09,4.571e-12
4878.978,3.931e-09,4.597e-12
4883.325,3.942e-09,4.591e-12
4887.673,3.934e-09,4.581e-12
4892.021,4.014e-09,4.614e-12
4896.370,4.103e-09,4.657e-12
4900.718,4.105e-09,4.651e-12
4905.067,4.054e-09,4.613e-12
4909.416,3.995e-09,4.570e-12
4913.765,3.935e-09,4.529e-12
4918.115,3.904e-09,4.503e-12
4922.465,3.927e-09,4.508e-12
4926.815,4.000e-09,4.541e-12
4931.165,4.038e-09,4.555e-12
4935.515,4.025e-09,4.540e-12
4939.866,4.064e-09,4.553e-12
4944.217,4.135e-09,4.585e-12
4948.568,4.127e-09,4.573e-12
4952.919,4.097e-09,4.548e-12
4957.270,4.083e-09,4.534e-12
4961.622,4.111e-09,4.542e-12
4965.974,4.159e-09,4.561e-12
4970.326,4.140e-09,4.543e-12
